anime_id,genres
23755,Adventure
23755,Fantasy
5530,Adventure
5530,Fantasy
5530,Mystery
396,Action
396,Romance
396,Sci-Fi
31227,Mystery
2963,Comedy
2963,Slice of Life
14511,Comedy
14511,Slice of Life
31764,Action
31764,Adventure
31764,Fantasy
22043,Action
22043,Adventure
22043,Fantasy
31859,Action
31859,Adventure
31859,Drama
31859,Fantasy
6956,Comedy
31783,Sports
39071,Comedy
39071,Fantasy
12021,Comedy
12021,Slice of Life
36513,Gourmet
36513,Slice of Life
9926,Boys Love
19775,Action
19775,Sci-Fi
32717,Slice of Life
21995,Romance
39681,
874,Adventure
874,Comedy
874,Fantasy
74,Comedy
74,Fantasy
34542,Action
34542,Drama
34542,Sci-Fi
42625,Action
42625,Adventure
42625,Fantasy
14941,Sci-Fi
1239,Fantasy
1239,Romance
52229,Sports
32979,Adventure
32979,Comedy
32979,Fantasy
32979,Sci-Fi
240,Comedy
488,Comedy
488,Slice of Life
852,Comedy
852,Drama
852,Romance
48491,Adventure
48491,Slice of Life
251,Adventure
251,Comedy
251,Fantasy
1412,Action
1412,Adventure
1412,Comedy
1412,Mystery
1915,Action
1915,Comedy
1915,Drama
1915,Fantasy
444,Drama
444,Girls Love
290,Action
290,Romance
290,Sci-Fi
18119,Comedy
32792,Action
32792,Drama
32792,Sci-Fi
28927,Action
28927,Drama
28927,Supernatural
32729,Drama
